2019-03-21 08:23:08,244 INFO  Inside CreateSpListItem constructor to create Client!
2019-03-21 08:23:08,268 INFO  Inside RetrieveQWOptionItems to retrieve QW Option List Items!
2019-03-21 08:23:08,268 INFO  Inside GetDigestValue to Get the DigestValue!
2019-03-21 08:23:10,149 INFO  Inside HasError func!
2019-03-21 08:23:10,294 INFO  Response after SP list items retrieval is not Null!
2019-03-21 08:23:10,294 INFO  Count of Response after SP list items retrieval is - 61
2019-03-21 08:23:10,294 INFO  Index of Response after SP list items retrieval - 0
2019-03-21 08:23:10,294 INFO  Status of Response after SP list items retrieval at index - 0 , is - True
2019-03-21 08:23:10,295 INFO  System of Response after SP list items retrieval at index - 0 , is - Baan
2019-03-21 08:23:10,295 INFO  problem of Response after SP list items retrieval at index - 0 , is - General Baan Access
2019-03-21 08:23:10,295 INFO  resolution of Response after SP list items retrieval at index - 0 , is - Raise ISR
2019-03-21 08:23:10,295 INFO  Index of Response after SP list items retrieval - 1
2019-03-21 08:23:10,295 INFO  Status of Response after SP list items retrieval at index - 1 , is - True
2019-03-21 08:23:10,295 INFO  System of Response after SP list items retrieval at index - 1 , is - Baan
2019-03-21 08:23:10,295 INFO  problem of Response after SP list items retrieval at index - 1 , is - General Baan Error
2019-03-21 08:23:10,295 INFO  resolution of Response after SP list items retrieval at index - 1 , is - Raise IT Ticket
2019-03-21 08:23:10,295 INFO  Index of Response after SP list items retrieval - 2
2019-03-21 08:23:10,295 INFO  Status of Response after SP list items retrieval at index - 2 , is - True
2019-03-21 08:23:10,296 INFO  System of Response after SP list items retrieval at index - 2 , is - Baan
2019-03-21 08:23:10,296 INFO  problem of Response after SP list items retrieval at index - 2 , is - Baan lockout
2019-03-21 08:23:10,296 INFO  resolution of Response after SP list items retrieval at index - 2 , is - Unlock through Active Directory
2019-03-21 08:23:10,296 INFO  Index of Response after SP list items retrieval - 3
2019-03-21 08:23:10,296 INFO  Status of Response after SP list items retrieval at index - 3 , is - True
2019-03-21 08:23:10,296 INFO  System of Response after SP list items retrieval at index - 3 , is - Baan
2019-03-21 08:23:10,296 INFO  problem of Response after SP list items retrieval at index - 3 , is - General Baan Access
2019-03-21 08:23:10,296 INFO  resolution of Response after SP list items retrieval at index - 3 , is - Raise IT Ticket
2019-03-21 08:23:10,296 INFO  Index of Response after SP list items retrieval - 4
2019-03-21 08:23:10,296 INFO  Status of Response after SP list items retrieval at index - 4 , is - True
2019-03-21 08:23:10,296 INFO  System of Response after SP list items retrieval at index - 4 , is - Baan
2019-03-21 08:23:10,296 INFO  problem of Response after SP list items retrieval at index - 4 , is - Baan Account Issue
2019-03-21 08:23:10,296 INFO  resolution of Response after SP list items retrieval at index - 4 , is - Raise IT Ticket
2019-03-21 08:23:10,296 INFO  Index of Response after SP list items retrieval - 5
2019-03-21 08:23:10,297 INFO  Status of Response after SP list items retrieval at index - 5 , is - True
2019-03-21 08:23:10,297 INFO  System of Response after SP list items retrieval at index - 5 , is - PC
